"count","city","type","type1","type2"
4589,"Berlin",,"Freistehende Einfamilienhäuser mit Garten","Wohnnutzung"
2606,"Berlin","Wälder und Forsten","Wald",
1190,"Berlin","Park / Grünfläche","Grünanlage/Park",
964,"Berlin",,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung","Gewerbe- und Industrienutzung, großflächiger Einzelhandel"
843,"Berlin",,"Reihen- und Doppelhäuser mit Garten","Wohnnutzung"
829,"Berlin",,"Freie Zeilenbebauung (1950er-1970er), mit landschaftlichem Siedlungsgrün, 3–6-geschossig","Wohnnutzung"
828,"Berlin",,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig","Wohnnutzung"
774,"Berlin","Kleingarten","Kleingartenanlage allgemein",
667,"Berlin","Gewässer","Gewässer",
643,"Berlin",,"Großsiedlungen und Punkthochhäuser (1960er-1980er), 4–11-geschossig","Wohnnutzung"
624,"Berlin",,"Villen und Stadtvillen mit parkartigem Garten (überwiegend 1870er-1945)","Wohnnutzung"
586,"Berlin",,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig","Wohnnutzung"
486,"Berlin","Sportnutzungen","Sportanlage, ungedeckt","Gemeinbedarfs- und Sondernutzungen"
461,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Brachfläche",
440,"Berlin",,"Geschlossene und halboffene Blockbebauung, Schmuck- und Gartenhof (1870er-1918), 4-geschossig","Wohnnutzung"
396,"Berlin",,"Neubau-Schule (nach 1945)","Gemeinbedarfs- und Sondernutzungen"
358,"Berlin",,"Parallele Zeilenbebauung mit architektonischem Zeilengrün (1920er bis 1930er), 3 – 5-geschossig","Wohnnutzung"
356,"Berlin",,"Entkernte Blockrandbebauung, Lückenschluss nach 1945","Wohnnutzung"
351,"Berlin",,"Gleiskörper","Verkehrsflächen"
349,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Brachfläche",
331,"Berlin","Park / Grünfläche","sonstige Verkehrsflächen (z.B. Verkehrsinseln etc.)","Verkehrsflächen"
325,"Berlin",,"Verdichtung in Einzelhausgebieten, Mischbebauung mit Gärten und halbprivater Umgrünung (1870er bis heute)","Wohnnutzung"
311,"Berlin",,"Geschosswohnungsbau der 1990er Jahre und jünger (1990er bis heute)","Wohnnutzung"
284,"Berlin",,"Kerngebiet","Kerngebietsnutzungen"
255,"Berlin",,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig","Mischnutzung"
243,"Berlin",,"Wochenendhäuser und kleingartenartige Gebiete","Wochenendhäuser und kleingartenähnliche Nutzungen"
233,"Berlin",,"Kindertagesstätte","Gemeinbedarfs- und Sondernutzungen"
202,"Berlin","Grünland","Landwirtschaft",
195,"Berlin",,"Parkplatz","Verkehrsflächen"
195,"Berlin",,"Bahnhof und Bahnanlage ohne Gleiskörper","Verkehrsflächen"
194,"Berlin",,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, dichte Bebauung","Gewerbe- und Industrienutzung, großflächiger Einzelhandel"
189,"Berlin","Park / Grünfläche","Wald",
187,"Berlin","Friedhof","Friedhof",
183,"Berlin",,"Altbau-Schule (vor 1945)","Gemeinbedarfs- und Sondernutzungen"
174,"Berlin",,"Verwaltung","Gemeinbedarfs- und Sondernutzungen"
173,"Berlin","Ackerland","Landwirtschaft",
158,"Berlin",,"Dichte Blockbebauung, geschlossener Hinterhof (1870er-1918), 5-6-geschossig","Wohnnutzung"
136,"Berlin",,"Mischgebiet ohne Wohngebietscharakter, geringe Bebauung","Mischnutzung"
114,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Gleiskörper","Verkehrsflächen"
108,"Berlin",,"sonstige Verkehrsflächen (z.B. Verkehrsinseln etc.)","Verkehrsflächen"
107,"Berlin",,"Sonstige Gemeinbedarfs- und Sondergebiete","Gemeinbedarfs- und Sondernutzungen"
106,"Berlin",,"Krankenhaus","Gemeinbedarfs- und Sondernutzungen"
106,"Berlin","Stadtplatz / Promenade","Stadtplatz/Promenade",
101,"Berlin",,"Flächen der Ver- und Entsorgung","Ver- und Entsorgungseinrichtungen"
93,"Berlin",,"Dörfliche Mischbebauung","Wohnnutzung"
93,"Berlin",,"Hochschule und Forschung","Gemeinbedarfs- und Sondernutzungen"
91,"Berlin","Baumschule / Gartenbau","Baumschule/Gartenbau",
88,"Berlin",,"Mischbebauung, halboffener und offener Schuppenhof, 2-4-geschossig","Wohnnutzung"
