Stadtteil;Einwohner-/innen insgesamt;0-2;3-5;6-14;15-17;18-20;21-34;35-59;60-64;65-74;75-79;80 und älter
Merkenich;5771;140;129;477;193;200;648;2624;316;545;261;238
Fühlingen;2072;44;53;164;76;84;185;977;132;192;84;81
Seeberg;11499;394;389;1233;391;442;1345;4439;611;1136;586;533
Heimersdorf;5955;140;125;406;168;162;553;2343;347;646;403;662
Lindweiler;3460;81;118;322;138;122;302;1321;221;371;253;211
Pesch;7627;170;179;510;188;207;647;2952;517;1216;568;473
Esch/Auweiler;6701;167;201;596;243;205;526;2967;379;711;378;328
Volkhoven/Weiler;6082;180;215;599;274;294;795;2660;293;447;181;144
Chorweiler;13816;552;557;1585;558;576;1742;5123;771;1229;535;588
Blumenberg;5650;171;170;628;243;243;818;2595;291;291;100;100
Roggendorf/Thenhoven;4109;150;121;394;129;150;507;1795;285;302;140;136
Worringen;9911;306;336;856;323;313;1066;4228;579;894;438;572
Poll;11533;367;303;908;325;343;1251;5061;654;1102;594;625
Westhoven;5254;122;143;355;111;122;467;2419;353;659;271;232
Ensen;7321;198;167;569;180;219;853;3189;435;767;332;412
Gremberghoven;2984;106;112;358;113;99;385;1230;126;227;113;115
Eil;9301;287;283;842;255;292;1012;3914;537;979;444;456
Porz;14963;425;454;1256;449;475;1722;6474;841;1341;650;876
Urbach;12414;339;353;999;338;394;1289;5237;705;1322;740;698
Elsdorf;1623;38;39;193;48;56;116;664;76;151;96;146
Grengel;5498;166;156;428;169;166;584;2384;375;534;250;286
Wahnheide;7786;203;198;556;200;244;920;3522;478;793;366;306
Wahn;7009;260;223;669;267;280;737;3102;361;577;274;259
Lind;3420;83;57;224;97;123;375;1501;241;416;184;119
Libur;1115;33;27;119;46;41;97;545;56;77;39;35
Zündorf;12288;301;312;1043;348;410;1132;5032;876;1562;701;571
Langel;3439;120;114;273;103;102;315;1512;264;370;147;119
Finkenberg;6871;263;281;812;311;294;784;2359;368;650;382;367
Humboldt/Gremberg;15480;529;479;1165;386;509;2746;6558;670;1221;627;590
Kalk;23638;815;682;1883;645;780;4447;10506;951;1559;663;707
Vingst;13093;463;548;1438;471;503;1648;5289;652;996;453;632
Höhenberg;12479;389;334;948;376;438;2053;5279;637;1079;493;453
Ostheim;12637;493;526;1329;474;479;1724;5057;590;1040;465;460
Merheim;11035;392;402;1151;345;376;1209;4888;508;886;450;428
Brück;10269;255;266;909;291;316;954;4317;604;1085;556;716
Rath/Heumar;11608;333;313;854;334;319;1104;5018;703;1269;662;699
Neubrück;8816;293;280;910;319;298;934;3247;451;753;533;798
Mülheim;42638;1468;1225;3316;1083;1270;6907;19388;1846;3104;1495;1536
Buchforst;7364;251;216;581;192;222;1120;3183;346;631;309;313
Buchheim;13327;439;412;1184;383;445;2041;5656;637;1046;544;540
Holweide;21252;666;612;1891;661;673;2673;9449;1234;1667;830;896
Dellbrück;21517;577;582;1725;613;587;2013;9568;1292;2141;1174;1245
Höhenhaus;15213;422;425;1382;524;501;1574;6218;968;1423;775;1001
Dünnwald;11599;380;346;1170;412;390;1218;4902;637;982;518;644
Stammheim;7883;262;221;601;234;221;899;3196;402;840;538;469
Flittard;7889;238;222;618;240;242;868;3218;445;790;426;582
