Stadtteil;Einwohner/-innen mit Migrationshintergrund;darunter mit türkischem Migrationshintergrund;darunter Aussiedler/-innen;darunter Eingebürgerte;darunter Ausländer/-innen;Anteil der Ausländer/-innen an allen Einwohnern in %;Ausländer/-innen unter 18  Jahre;Anteil Ausländer/-innen unter 18 Jahre an allen Einwohnern unter 18 Jahre in %
Altstadt-Süd;8793;1480;834;2509;5168;18,7;379;16,5
Neustadt-Süd;10600;1358;950;3439;5902;15,4;385;9,6
Altstadt-Nord;6544;803;572;1636;4163;23,0;261;20,2
Neustadt-Nord;7995;1046;730;2612;4423;15,6;291;9,7
Deutz;4760;695;538;1544;2492;16,2;299;17,3
Bayenthal;2742;358;301;966;1323;14,3;143;9,9
Marienburg;2218;266;263;823;1016;16,0;78;7,8
Raderberg;2066;531;176;674;1045;17,6;108;11,9
Raderthal;1150;167;160;401;529;11,1;55;7,4
Zollstock;6811;1295;759;2462;3221;14,4;226;8,0
Rondorf;2460;334;377;904;1062;11,3;152;9,7
Hahnwald;469;14;52;166;242;11,7;40;9,3
Rodenkirchen;3922;286;585;1236;1990;12,2;200;8,7
Weiß;1115;104;181;381;497;8,4;42;3,8
Sürth;2605;282;452;1021;977;9,0;98;4,5
Godorf;929;138;86;207;579;23,8;106;24,4
Immendorf;621;69;129;190;255;12,5;41;10,9
Meschenich;4597;1247;255;951;3085;40,4;608;36,5
Klettenberg;1889;206;271;792;770;7,3;56;3,3
Sülz;7127;474;938;2619;3372;9,2;160;3,5
Lindenthal;6183;406;889;2220;2967;9,8;135;3,8
Braunsfeld;2644;179;342;895;1340;11,5;106;7,3
Müngersdorf;2503;316;253;812;1354;15,8;91;7,1
Junkersdorf;3154;171;424;1131;1488;10,8;115;4,6
Weiden;6207;528;828;2157;2901;16,9;541;21,2
Lövenich;1912;153;314;713;803;9,0;78;4,9
Widdersdorf;3570;778;475;1499;1246;10,8;201;6,4
Ehrenfeld;12877;3319;1047;3799;7388;20,0;564;13,0
Neuehrenfeld;7315;1585;568;2297;4058;16,5;386;10,5
Bickendorf;7347;2527;836;2159;3731;22,5;419;13,7
Vogelsang;2511;647;247;777;1317;15,6;208;13,7
Bocklemünd/Mengenich;4624;1513;509;1270;2422;22,7;363;17,4
Ossendorf;4436;1458;435;1620;1942;19,2;160;7,6
Nippes;10846;2901;903;3278;6039;16,9;440;8,2
Mauenheim;1852;629;188;596;936;16,6;89;9,6
Riehl;3576;829;444;1125;1849;15,9;193;13,6
Niehl;8617;3575;613;2593;4622;23,2;452;13,6
Weidenpesch;5183;1812;461;1503;2833;20,3;291;14,8
Longerich;3983;1064;613;1360;1741;12,8;186;8,7
Bilderstöckchen;8087;3420;439;2463;4371;27,8;457;14,7
Merkenich;1796;525;300;574;834;14,5;105;11,2
Fühlingen;457;86;152;162;133;6,4;7;2,1
Seeberg;7958;3017;1242;2380;3794;33,0;517;21,5
Heimersdorf;1583;419;349;569;572;9,6;43;5,1
Lindweiler;1448;472;324;456;553;16,0;64;9,7
Pesch;2096;497;479;771;733;9,6;39;3,7
Esch/Auweiler;1640;356;443;633;477;7,1;49;4,1
Volkhoven/Weiler;3554;1267;861;1221;1200;19,7;108;8,5
Chorweiler;11062;2841;1952;2777;5604;40,6;913;28,1
Blumenberg;3806;1197;942;1409;1168;20,7;144;11,9
Roggendorf/Thenhoven;1714;297;321;545;762;18,5;109;13,7
Worringen;2767;505;518;784;1295;13,1;155;8,5
Poll;3652;491;696;1103;1677;14,5;298;15,7
Westhoven;1590;160;375;558;595;11,3;54;7,4
Ensen;2589;408;506;930;1011;13,8;104;9,3
Gremberghoven;2009;735;91;476;1262;42,3;244;35,4
Eil;3961;879;654;1281;1741;18,7;316;19,0
Porz;7747;1588;1266;2654;3321;22,2;433;16,8
Urbach;5207;941;1034;1744;2107;17,0;257;12,7
Elsdorf;576;87;131;204;190;11,7;18;5,7
Grengel;2129;415;371;716;891;16,2;100;10,9
Wahnheide;2454;363;396;819;1091;14,0;113;9,8
Wahn;2562;446;430;864;1110;15,8;233;16,4
Lind;915;118;175;257;431;12,6;48;10,4
Libur;216;20;71;82;53;4,8;3;1,3
Zündorf;3876;599;715;1340;1633;13,3;303;15,1
Langel;609;54;155;227;207;6,0;18;3,0
Finkenberg;5641;677;935;1391;3091;45,0;869;52,1
Humboldt/Gremberg;8765;2357;792;2347;4996;32,3;634;24,8
Kalk;14348;4060;844;3572;8938;37,8;1211;30,1
Vingst;8038;3099;822;2312;4106;31,4;560;19,2
Höhenberg;6920;2333;501;1695;4212;33,8;563;27,5
Ostheim;7742;2255;908;2411;3830;30,3;613;21,7
Merheim;4999;1141;857;1770;1980;17,9;239;10,4
Brück;2380;336;447;782;1035;10,1;131;7,6
Rath/Heumar;2507;366;453;891;1012;8,7;114;6,2
Neubrück;5078;945;1041;1520;2166;24,6;419;23,3
Mülheim;22095;7223;1512;5409;13575;31,8;1832;25,8
Buchforst;3968;1323;382;1211;2060;28,0;206;16,6
Buchheim;7079;2625;613;2018;3854;28,9;481;19,9
Holweide;8526;2408;1154;2722;3998;18,8;554;14,5
Dellbrück;4692;647;870;1485;2101;9,8;262;7,5
Höhenhaus;4654;1518;602;1543;2098;13,8;263;9,6
Dünnwald;4056;1241;766;1273;1680;14,5;209;9,1
Stammheim;3238;869;962;874;1191;15,1;148;11,2
Flittard;2254;714;405;656;992;12,6;109;8,3
