"Statistische Daten zu den Stadtteilen Hamburgs, © Statistikamt Nord ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stadtgebiet","Bevölkerung und Haushalte 31.12.2013","","","","","","","","","","","","","","","","","","","","","Bevölkerungsbewegung 2013","","","","","","","Sozialstruktur","","","","","","","","","","","","","","","Wohnen","","","","","","","","","","","","","","Infrastruktur und Verkehr","","","","","","","","","",""
"","Bevölkerung","Unter 18-Jährige","Anteil der unter 18-Jährigen in %"," 65-Jährige und Ältere","Anteil der 65-Jährigen und Älteren in %","Ausländerinnen und Ausländer","Ausländeranteil in %","Bevölkerung mit Migrations-hintergrund","Anteil der Bevölkerung mit Migrations-hintergrund in %","Unter 18-Jährige mit Migrations-hintergrund","Anteil der unter 18-Jährigen mit Migrations-hintergrund in %","Haushalte","Personen je Haushalt","Einpersonen-haushalte","Anteil der Einpersonen-haushalte in %","Haushalte mit Kindern","Anteil der Haushalte mit Kindern in %","Alleinerziehende","Anteil der Haushalte von Alleinerziehenden in %","Fläche in km²","Bevölkerungs-dichte","Geburten","Sterbefälle","Zuzüge","Zuzüge aus dem Hamburger Umland","Fortzüge","Fortzüge in das Hamburger Umland","Wanderungssaldo","Sozial-versicherungs-pflichtig Beschäftigte (Dez 2013)","Beschäftigten-quote in % (Dez 2013)","Arbeitslose (Dez 2013)","Arbeitslosenanteil in % (Dez 2013)","Jüngere Arbeitslose (Dez 2013)","Arbeitslosenanteil Jüngerer in % (Dez 2013)","Ältere Arbeitslose (Dez 2013)","Arbeitslosenanteil Älterer in % (Dez 2013)","Leistungs-empfänger/-innen nach SGB II (Dez 2013)","Anteil der Leistungs-empfänger/-innen nach SGB II in % (Dez 2013)","Unter 15-Jährige in Mindestsicherung (Dez 2013)","Anteil der unter 15-Jährigen in Mindestsicherung in % (Dez 2013)","Bedarfs-gemeinschaften nach SGB II (Dez 2013)","Lohn- und Einkommen-steuerpflichtige (2010)","Durchschnitt-liches Einkommen je Steuerpflichtigen in EUR (2010)","Wohngebäude (2013)","Wohnungen (2013)","Bezugsfertige Wohnungen (2013)","Wohnungen in Ein- und Zweifamilien-häusern (2013)","Anteil der Wohnungen in Ein- und Zweifamilien-häusern in % (2013)","Wohnungsgröße in m² (2013)","Wohnfläche je Einwohner/-in in m² (2013)","Sozialwohnungen (Jan 2014)","Sozialwohnungs-anteil in % (Jan 2014)","Sozialwohnungen mit Bindungsauslauf bis 2019","Sozialwohnungen mit Bindungsauslauf bis 2019 in %","Preise für Grundstücke in EUR/m² (Jan 2014)","Preise für Ein- bzw Zwei-familienhäuser in EUR/m² (Jan 2014)","Preise für Eigentums-wohnungen in EUR/m² (Jan 2014)","Kindergärten und Vorschulklassen (März 2014)","Grundschulen (2013/2014)","Schülerinnen und Schüler der Sekundarstufe I (2013/2014)","Anteil der Schülerinnen und Schüler in Stadtteilschulen und Schulformen mit mehreren Bildungsgängen in % (2013/2014)","Anteil der Schülerinnen und Schüler in Gymnasien in % (2013/2014)","Niedergelassene Ärzte (Dez 2013)","Allgemeinärzte (Dez 2013)","Zahnärzte (Nov 2013)","Apotheken (Nov 2013)","Private PKW (Jan 2014)","PKW-Dichte (Jan 2014)"
"","Anzahl der Einwohnerinnen und Einwohner","Anzahl der Kinder und Jugendlichen unter 18 Jahren","Anteil Kinder und Jugendlicher unter 18 Jahren an der Gesamt-bevölkerung","Anzahl älterer Einwohnerinnen und Einwohner über 64 Jahren","Anteil älterer Einwohnerinnen und Einwohner über 64 Jahren an der Gesamt-bevölkerung","Anzahl ausländischer Einwohnerinnen und Einwohner ","Anteil ausländischer Einwohnerinnen und Einwohner an der Gesamt-bevölkerung","Anzahl der Einwohnerinnen und Einwohner mit Migrations-hintergrund","Anteil der Einwohnerinnen und Einwohner mit Migrations-hintergrund an der Gesamt-bevölkerung","Anzahl der Kinder und Jugendlichen unter 18 Jahren mit Migrations-hintergrund","Anteil Kinder und Jugendlicher unter 18 Jahren mit Migrations-hintergrund an allen Kindern und Jugendlichen unter 18 Jahren","Anzahl der Haushalte","Durchschnittliche Anzahl der Personen je Haushalt","Anzahl der Einpersonen-haushalte","Anteil der Haushalte, in denen nur eine Person lebt, an allen Haushalten","Anzahl der Haushalte mit Kindern","Anteil der Haushalte, in denen Kinder leben, an allen Haushalten","Anzahl der Haushalte, in denen Alleinerziehende leben","Anteil der Haushalte, in denen Alleinerziehende leben, an allen Haushalten mit Kindern","Fläche in km²","Einwohnerinnen und Einwohner je km²","Anzahl der Lebendgeborenen","Anzahl der Sterbefälle","Zuzüge über die Stadtteilgrenze im Jahr 2013","Zuzüge aus den sechs an Hamburg grenzenden Kreisen im Jahr 2013","Fortzüge über die Stadtteilgrenze im Jahr 2013","Fortzüge in die sechs an Hamburg grenzenden Kreise im Jahr 2013","Differenz der Zuzüge und Fortzüge über die Stadtteilgrenze","Sozial-versicherungs-pflichtig Beschäftigte am Wohnort","Anteil sozial-versicherungs-pflichtig Beschäftigter am Wohnort an den Erwerbsfähigen (15 bis unter 65-Jährige)","Anzahl der Arbeitslosen","Anteil der Arbeitslosen an den Erwerbsfähigen (15 bis unter 65-Jährige)","Jüngere Arbeitslose im Alter von 15 bis unter 25 Jahren","Anteil jüngerer Arbeitsloser (15 bis unter 25-Jährige) an den jüngeren Erwerbsfähigen (15 bis unter 25-Jährige)","Ältere Arbeitslose im Alter von 55 bis unter 65 Jahren","Anteil älterer Arbeitsloser (55 bis unter 65-Jährige) an den älteren Erwerbsfähigen (55 bis unter 65-Jährige)","Anzahl der Leistungs-empfängerinnen und Leistungs-empfänger nach SGB II","Anteil der Leistungs-empfängerinnen und Leistungs-empfänger nach SGB II an der Gesamt-bevölkerung","Anzahl der Leistungs-empfängerinnen und Leistungs-empfänger nach SGB II unter 15 Jahren","Anteil der Leistungs-empfängerinnen und Leistungs-empfänger nach SGB II unter 15 Jahren an der Bevölkerung unter 15 Jahren","Anzahl der Bedarfs-gemeinschaften nach SGB II","Anzahl der Lohn- und Einkommen-steuerpflichtigen (2010)","Gesamtbetrag der Einkünfte je Steuerpflichtigen (Lohn- und Einkommen-steuer) im Jahr","Anzahl der Wohngebäude","Anzahl der Wohnungen","Anzahl der bezugsfertig gewordenen Wohnungen im Jahr","Anzahl der Wohnungen in Ein- und Zweifamilien-häusern","Anteil der Wohnungen in Ein- und Zweifamilien-häusern an allen Wohnungen","Durchschnittliche Wohnungsgröße in m²","Durchschnittliche Wohnfläche je Einwohner/-in in m²","Anzahl der Sozialwohnungen","Anteil der Sozialwohnungen an allen Wohnungen","Anzahl der Sozialwohnungen mit Bindungsauslauf bis 2019","Anteil der Sozialwohnungen mit Bindungsauslauf bis 2019 an allen Sozialwohnungen","Durchschnittlicher Immobilienpreis für ein Grundstück in EUR/m²","Durchschnittlicher Immobilienpreis für ein Ein- bzw Zweifamilienhaus in EUR/m²","Durchschnittlicher Immobilienpreis für eine Eigentums-wohnung in EUR/m²","Kindergärten und Vorschulklassen für Kinder im Alter von 3 Jahren bis Schuleintritt","Anzahl der Grundschulen","Anzahl der Schülerinnen und Schüler der Sekundarstufe I (nach Wohnort)","Anteil der Schülerinnen und Schüler in Stadtteilschulen und Schulformen mit mehreren Bildungsgängen an allen Schülerinnen und Schülern der Sekundarstufe I (nach Wohnort)","Anteil der Schülerinnen und Schüler in Gymnasien an allen Schülerinnen und Schülern der Sekundarstufe I (nach Wohnort)","Anzahl der niedergelassenen Ärzte","Anzahl der Allgemeinärzte","Anzahl der Zahnärzte","Anzahl der Apotheken","Anzahl privater PKW","Anzahl der privaten PKW je 1 000 Einwohnerinnen und Einwohner"
"Hamburg-Altstadt","1675.0","162.0","9.7","219.0","13.1","341.0","20.4","664.0","39.6","101.0","62.3","1229.0","1.4","888.0","72.3","107.0","8.7","40.0","37.4","1.288","1300.0","15.0","12.0","283.0","24.0","306.0","21.0","-23.0","726.0","54.9","71.0","5.4","10.0","5.6","4.0","2.5","186.0","11.1","49.0","36.8","106.0","1728.0","26493.0","90.0","1129.0","131.0","17.0","1.5","70.2382639504","47.3426865672","214.0","19.0","54.0","25.2",".",".",".","1.0","0.0","50.0","60.0","34.0","139.0","34.0","49.0","10.0","463.0","276.417910448"
"HafenCity","1914.0","241.0","12.6","215.0","11.2","338.0","17.7","582.0","30.3","113.0","47.1","1073.0","1.9","499.0","46.5","166.0","15.5","27.0","16.3","2.423","790.0","40.0","8.0","375.0","34.0","304.0","29.0","71.0","788.0","53.4","14.0","0.9","0.0","0.0","0.0","0.0","4.0","0.2","0.0","0.0","3.0","1041.0","81470.0","61.0","1069.0","54.0","6.0","0.6","95.1936389149","53.1671891327","0.0","0.0","0.0","0.0",".",".","6465.0","2.0","1.0","28.0","25.0","75.0","8.0","3.0","4.0","1.0","704.0","367.816091954"
"Neustadt","12301.0","1334.0","10.8","1710.0","13.9","2514.0","20.4","4299.0","34.9","665.0","50.0","8584.0","1.5","5996.0","69.9","945.0","11.0","307.0","32.5","2.233","5509.0","134.0","79.0","1645.0","89.0","1718.0","144.0","-73.0","5094.0","53.9","577.0","6.1","31.0","3.2","77.0","5.8","1171.0","9.5","213.0","18.7","831.0","6709.0","31180.0","633.0","7272.0","0.0","66.0","0.9","62.4077282728","36.8936671815","1550.0","21.3","307.0","19.8",".",".",".","11.0","1.0","383.0","56.4","39.4","155.0","19.0","64.0","9.0","2965.0","241.03731404"
"St. Pauli","22392.0","2844.0","12.7","2072.0","9.3","4987.0","22.3","8125.0","36.3","1499.0","52.7","15133.0","1.5","10490.0","69.3","1881.0","12.4","616.0","32.7","2.298","9744.0","274.0","127.0","3270.0","171.0","3134.0","197.0","136.0","8242.0","46.3","1531.0","8.6","89.0","4.4","160.0","8.5","3448.0","15.4","724.0","28.9","2287.0","11067.0","25615.0","1258.0","12292.0","53.0","164.0","1.3","63.8077611455","35.0270185781","2185.0","17.8","816.0","37.3","893.0",".","4822.0","19.0","1.0","737.0","60.5","32.3","42.0","15.0","13.0","7.0","4262.0","190.335834227"
"St. Georg","10466.0","1031.0","9.9","1341.0","12.8","2338.0","22.3","3790.0","36.1","533.0","51.6","6851.0","1.5","4702.0","68.6","695.0","10.1","169.0","24.3","1.836","5700.0","108.0","100.0","1834.0","120.0","1932.0","118.0","-98.0","4091.0","49.7","484.0","5.9","27.0","2.5","71.0","6.8","893.0","8.5","151.0","16.8","619.0","5560.0","39261.0","518.0","5669.0","46.0","56.0","1.0","70.0160522138","37.9248041277","838.0","14.8","187.0","22.3","1446.0",".","4622.0","9.0","3.0","285.0","44.2","48.1","105.0","39.0","15.0","8.0","2244.0","214.408561055"
"Hammerbrook","2170.0","142.0","6.5","89.0","4.1","721.0","33.2","1013.0","46.3","107.0","76.4","1492.0","1.4","1094.0","73.3","92.0","6.2","31.0","33.7","2.464","881.0","17.0","11.0","1027.0","52.0","940.0","37.0","87.0","937.0","48.0","185.0","9.5","20.0","3.4","12.0","9.8","383.0","17.6","54.0","42.2","309.0","844.0","22664.0","68.0","1038.0","0.0","5.0","0.5","63.8275529865","30.5313364055","114.0","11.0","0.0","0.0","0.0",".",".","4.0","1.0","37.0","78.4","18.9","0.0","0.0","10.0","0.0","365.0","168.202764977"
"Borgfelde","7085.0","619.0","8.7","988.0","13.9","1726.0","24.4","2761.0","39.0","390.0","63.6","4283.0","1.4","3013.0","70.3","370.0","8.6","113.0","30.5","0.864","8200.0","73.0","59.0","1441.0","91.0","1261.0","82.0","180.0","2863.0","51.5","300.0","5.4","35.0","3.0","37.0","6.0","651.0","9.2","126.0","23.5","452.0","3496.0","23026.0","373.0","3986.0","71.0","35.0","0.9","57.023833417","32.0814396613","163.0","4.1","33.0","20.2","534.0",".","2055.0","5.0","0.0","185.0","61.1","30.3","5.0","2.0","3.0","0.0","1639.0","231.333803811"
"Hamm","37520.0","4079.0","10.9","5686.0","15.2","6422.0","17.1","12336.0","32.9","2433.0","60.0","25783.0","1.5","17631.0","68.4","2760.0","10.7","936.0","33.9","3.763","9971.0","395.0","316.0","5044.0","465.0","5424.0","586.0","-380.0","16836.0","59.5","1791.0","6.3","114.0","2.6","233.0","6.8","4066.0","10.8","1034.0","29.4","2494.0","20796.0","23447.0","2288.0","22835.0","48.0","250.0","1.1","58.4699802934","35.5853411514","1182.0","5.2","263.0","22.3","321.0","2086.0","2228.0","14.0","4.0","1099.0","58.8","35.6","30.0","14.0","30.0","7.0","10272.0","273.773987207"
"Horn","37614.0","5569.0","14.8","6188.0","16.5","8467.0","22.5","17232.0","45.7","3900.0","69.9","22398.0","1.7","13107.0","58.5","3478.0","15.5","1195.0","34.4","5.822","6461.0","378.0","382.0","4579.0","365.0","4649.0","529.0","-70.0","13755.0","51.5","2286.0","8.6","151.0","2.9","306.0","8.0","6452.0","17.2","1816.0","38.5","3606.0","17499.0","20043.0","2749.0","19351.0","49.0","983.0","5.1","60.8597488502","31.3100707183","1661.0","8.6","702.0","42.3","266.0","2176.0","1815.0","15.0","6.0","1730.0","64.6","28.6","36.0","23.0","13.0","7.0","9945.0","264.396235444"
