
Gebiet;Geschlecht;insgesamt;a0_3;a3_6;a6_12;a12_18;a18_20;a20_30;a30_45;a45_60;a60_65;a65_plus
Hamburg-Altstadt;männlich;997;34;14;24;30;15;161;323;248;35;113
Hamburg-Altstadt;weiblich;882;19;17;33;19;8;177;279;174;38;118
Hamburg-Altstadt;zusammen;1879;53;31;57;49;23;338;602;422;73;231
HafenCity;männlich;1242;56;39;42;26;10;128;432;323;54;132
HafenCity;weiblich;1077;65;36;50;20;14;127;384;204;42;135
HafenCity;zusammen;2319;121;75;92;46;24;255;816;527;96;267
Neustadt;männlich;6547;211;129;210;190;91;850;2070;1557;348;891
Neustadt;weiblich;6039;173;119;193;197;84;942;1899;1207;304;921
Neustadt;zusammen;12586;384;248;403;387;175;1792;3969;2764;652;1812
St Pauli;männlich;12083;377;287;463;406;142;1854;4117;2853;430;1154
St Pauli;weiblich;10452;358;251;439;364;128;1962;3630;1957;379;984
St Pauli;zusammen;22535;735;538;902;770;270;3816;7747;4810;809;2138
St Georg;männlich;5994;108;99;162;145;68;1056;1818;1596;262;680
St Georg;weiblich;4742;155;112;158;148;67;983;1285;923;216;695
St Georg;zusammen;10736;263;211;320;293;135;2039;3103;2519;478;1375
Hammerbrook;männlich;1585;19;16;29;23;36;626;471;265;36;64
Hammerbrook;weiblich;869;14;12;23;15;10;395;224;116;26;34
Hammerbrook;zusammen;2454;33;28;52;38;46;1021;695;381;62;98
Borgfelde;männlich;3410;95;64;86;90;39;873;1014;633;132;384
Borgfelde;weiblich;3435;90;44;109;82;64;975;838;507;167;559
Borgfelde;zusammen;6845;185;108;195;172;103;1848;1852;1140;299;943
Hamm (-Nord);männlich;19162;566;437;678;666;271;3987;5815;3728;779;2235
Hamm (-Nord);weiblich;19353;518;400;637;548;275;4731;4960;3209;788;3287
Hamm (-Nord);zusammen;38515;1084;837;1315;1214;546;8718;10775;6937;1567;5522
Horn;männlich;19555;579;512;988;906;361;3941;4721;4051;859;2637
