"stadtbezirk","einwohner","flaeche","einwohnerdichte","anteil_an_gesamtbevoelkerung"
"  1 Altstadt - Lehel",20422,314.57,65,1.39
"  2 Ludwigsvorstadt - Isarvorstadt ",50620,440.14,115,3.46
"  3 Maxvorstadt",51642,429.79,120,3.53
"  4 Schwabing West",65892,436.3,151,4.5
"  5 Au - Haidhausen",59752,421.96,142,4.08
"  6 Sendling ",39953,393.87,101,2.73
"  7 Sendling - Westpark",55405,781.45,71,3.78
"  8 Schwanthalerhöhe",29663,207.02,143,2.02
"  9 Neuhausen - Nymphenburg",95906,1291.45,74,6.55
"10 Moosach",51537,1109.36,46,3.52
"11 Milbertshofen - Am Hart",73617,1341.64,55,5.03
"12 Schwabing - Freimann",69676,2567.22,27,4.76
"13 Bogenhausen",82138,2370.97,35,5.61
"14 Berg am Laim ",43068,631.46,68,2.94
"15 Trudering - Riem",67009,2245.05,30,4.57
"16 Ramersdorf - Perlach ",108244,1989.5,54,7.39
"17 Obergiesing - Fasangarten",51499,572.04,90,3.52
"18 Untergiesing - Harlaching ",51937,805.67,64,3.55
"19 Thalkirchen - Obersendling - Forstenried -
     Fürstenried - Solln",90790,1776.31,51,6.2
"20 Hadern ",48945,922.37,53,3.34
"21 Pasing - Obermenzing",70783,1649.78,43,4.83
"22 Aubing - Lochhausen - Langwied",42305,3406.02,12,2.89
"23 Allach - Untermenzing",30737,1545.17,20,2.1
"24 Feldmoching - Hasenbergl ",59391,2893.78,21,4.05
"25 Laim",54030,528.59,102,3.69
"nicht zuzuordnen",1,,,
