"count","city","type"
963,"Munich","AG"
568,"Munich","WA"
404,"Munich","WR"
400,"Munich","SG"
356,"Munich","E"
241,"Munich","OEKO"
231,"Munich","GE"
227,"Munich","R"
194,"Munich","HST"
183,"Munich","WASS"
159,"Munich","UEHS"
154,"Munich","MK"
148,"Munich","SPOR"
145,"Munich","MI"
130,"Munich","V"
120,"Munich","KG"
112,"Munich","F"
99,"Munich","LW"
90,"Munich","BAHN"
79,"Munich","VE"
79,"Munich","WALD"
74,"Munich","WB"
63,"Munich","K"
38,"Munich","SOGE"
37,"Munich","S"
33,"Munich","GS"
31,"Munich","FRIE"
29,"Munich","W"
29,"Munich","GI"
25,"Munich","J"
24,"Munich","MD"
23,"Munich","SOH"
17,"Munich","P"
15,"Munich","WS"
14,"Munich","SOGR"
13,"Munich","UESG"
12,"Munich","SP"
11,"Munich","FUSB"
9,"Munich","GB"
9,"Munich","SO"
8,"Munich","SOFM"
8,"Munich","WISS"
7,"Munich","M"
7,"Munich","FUSS"
7,"Munich","SOLV"
6,"Munich","SOEZ"
4,"Munich","SOF"
4,"Munich","CAMP"
2,"Munich","SOM"
2,"Munich","GAR"
1,"Munich","SOBV"
1,"Munich","SOK"
1,"Munich","SOGH"
1,"Munich","SOSP"
1,"Munich","KIES"
