Level 2 Short;Level 2;Level 1 Short;Level 1;Original;Origin
;;WHN;Wohnen;Wohnbaufl„che;Cologne
;;WHN;Wohnen;Besonderes Wohngebiet;Cologne
;;WSR;Wasser;Wasserfl„che;Cologne
WLD;Wald;GRF;Grnfl„che;Fl„che fr die Forstwirtschaft Erholungswald;Cologne
;;VES;Versorgung;Fl„che fr Ver- und Entsorgung;Cologne
;;IND;Industrie;Industriefl„che;Cologne
;;LW;Landwirtschaft;Grnfl„che mit tw. landwirtschftl. Nutzung;Cologne
;;BHN;Bahn;Fl„che fr Hauptverkehrszge;Cologne
;;BHN;Bahn;Fl„che fr Bahnanlagen;Cologne
;;KRN;Kern;Kerngebiet;Cologne
;;MSH;Misch;Mischfl„che;Cologne
;;MSH;Misch;Mischgebiet;Cologne
;;GMB;Gemeinbedarf;Gemeinbedarfsfl„che;Cologne
;;LWT;Landwirtschaft;Fl„che fr die Landwirtschaft;Cologne
;;GWB;Gewerbe;Gewerbefl„che;Cologne
;;SND;Sonder;Sonderbaufl„che mit Zweckbestimmung;Cologne
;;SND;Sonder;Sonderbaufl„che allgemein;Cologne
WLD;Wald;GRF;Grnfl„che;Waldfl„che mit besonderer Nutzung;Cologne
;;GRF;Grnfl„che;Grnfl„che mit besonderer Nutzung;Cologne
;;WHN;Wohnen;Wohnbaufl„che zurckgestellt;Cologne
;;SNR;Sanierung;Sanierungsgebiet;Cologne
WND;Windenergie;ENG;Energie;Fl„che fr Windenergieanlagen;Cologne
;;LVK;Luftverkehr;Fl„che fr den Luftverkehr;Cologne
SHP;Shopping;GWB;Gewerbe;groáfl. E.H.;Cologne
;;BHN;Bahn;KVB;Cologne
;;IND;Industrie;DFVLR;Cologne
;;MLT;Milit„r;Milit„rischer Bereich;Cologne
;;NAN;undefined;F.M.A.;Cologne
SHP;Shopping;GWB;Gewerbe;M”belmarkt;Cologne
SPT;Sport;FRZ;Freizeit;Golf;Cologne
ODR;Outdoor;FRZ;Freizeit;Camping;Cologne
;;HFN;Hafen;Hafen;Cologne
;;IFS;Infrastruktur;GVZ;Cologne
SPT;Sport;FRZ;Freizeit;Stadion;Cologne
BLD;Bildung;SND;Sonder;UNI;Cologne
BLD;Bildung;SND;Sonder;Sporthochschule;Cologne
;;NAN;undefined;PH;Cologne
IFS;Infrastruktur;GMB;Gemeinbedarf;Vollz.anstalt;Cologne
;;GMB;Gemeinbedarf;Soz. Einricht.;Cologne
;;FRZ;Freizeit;Festplatz;Cologne
SHP;Shopping;GWB;Gewerbe;groáfl. E.H.+z.S.;Cologne
;;NAN;undefined;G.M.I.;Cologne
RLG;Religion;GMB;Gemeinbedarf;Kloster;Cologne
IFS;Infrastruktur;GWB;Gewerbe;Post;Cologne
;;MLT;Milit„r;Milt„rischer Bereich;Cologne
BLD;Bildung;SND;Sonder;F.H.;Cologne
MSS;Messe;GWB;Gewerbe;Messe;Cologne
SPT;Sport;FRZ;Freizeit;EIS u. SCHWIMMST.;Cologne
BLD;Bildung;SND;Sonder;FH;Cologne
SHP;Shopping;GWB;Gewerbe;Blumenmarkt;Cologne
;;BHN;Bahn;KVB-Betriebshof;Cologne
;;GWB;Gewerbe;Schlachthof;Cologne
SHP;Shopping;GWB;Gewerbe;Groámarkt;Cologne
SHP;Shopping;GWB;Gewerbe;Baumarkt;Cologne
;;NAN;undefined;MPI;Cologne
KLT;Kultur;GMB;Gemeinbedarf;Kulturelle Einrichtungen;Cologne
;;GMB;Gemeinbedarf;Heim d. Inn. Miss.;Cologne
IFS;Infrastruktur;GMB;Gemeinbedarf;Reha-Zentr.;Cologne
;;IFS;Infrastruktur;Lager/GVZ;Cologne
PRK;Parken;VRK;Verkehr;P+R / Hotel;Cologne
;;NAN;undefined;WEA;Cologne
;;IND;Industrie;Rundfunk;Cologne
;;GWB;Gewerbe;Nahversorgung;Cologne
SPT;Sport;FRZ;Freizeit;Sport/Gesundheit/Bildung;Cologne
SPT;Sport;FRZ;Freizeit;Sport/Kultur;Cologne
;;IND;Industrie;Fermeldeturm;Cologne
BGS;Biogas;ENG;Energie;Biogasanlage;Cologne
;;FRZ;Freizeit;Clubhaus;Cologne
MSS;Messe;Gewerbe;Gewerbe;Messe/Verk.šb.Pl.;Cologne
KLT;Kultur;GMB;Gemeinbedarf;kultur. Einricht./Theater;Cologne
;;IND;Industrie;Forensik;Cologne
;;MLT;Milit„r;Milit„rischer Bereich;Cologne
;;VRK;Verkehr;Stellpl„tze;Cologne
SPT;Sport;FRZ;Freizeit;Golf;Cologne
KLT;Kultur;FRZ;Freizeit;Veranstaltungen;Cologne
KTL;Kultur;FRZ;Freizeit;Theater;Cologne
;;NAN;undefined;Berichtigung erforderlich;Cologne
;;NAN;undefined;null;Berlin
;;WHN;Wohnen;Wohnnutzung;Berlin
;;VES;Versorgung;Ver- und Entsorgungseinrichtungen;Berlin
;;GWB;Gewerbe;Gewerbe- und Industrienutzung, groáfl„chiger Einzelhandel;Berlin
;;KRN;Kern;Kerngebietsnutzungen;Berlin
;;MSH;Misch;Mischnutzung;Berlin
;;GMB;Gemeinbedarf;Gemeinbedarfs- und Sondernutzungen;Berlin
