Level 2 Short;Level 2;Level 1 Short;Level 1;Original;Origin
;;WHN;Wohnen;Wohnbaufläche;Cologne
;;WHN;Wohnen;Besonderes Wohngebiet;Cologne
;;WSR;Wasser;Wasserfläche;Cologne
WLD;Wald;GRF;Grünfläche;Fläche für die Forstwirtschaft Erholungswald;Cologne
;;VES;Versorgung;Fläche für Ver- und Entsorgung;Cologne
;;IND;Industrie;Industriefläche;Cologne
;;LW;Landwirtschaft;Grünfläche mit tw. landwirtschftl. Nutzung;Cologne
;;BHN;Bahn;Fläche für Hauptverkehrszüge;Cologne
;;BHN;Bahn;Fläche für Bahnanlagen;Cologne
;;KRN;Kern;Kerngebiet;Cologne
;;MSH;Misch;Mischfläche;Cologne
;;MSH;Misch;Mischgebiet;Cologne
;;GMB;Gemeinbedarf;Gemeinbedarfsfläche;Cologne
;;LWT;Landwirtschaft;Fläche für die Landwirtschaft;Cologne
;;GWB;Gewerbe;Gewerbefläche;Cologne
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne
;;SND;Sonder;Sonderbaufläche allgemein;Cologne
WLD;Wald;GRF;Grünfläche;Waldfläche mit besonderer Nutzung;Cologne
;;GRF;Grünfläche;Grünfläche mit besonderer Nutzung;Cologne
;;WHN;Wohnen;Wohnbaufläche zurückgestellt;Cologne
;;SNR;Sanierung;Sanierungsgebiet;Cologne
WND;Windenergie;ENG;Energie;Fläche für Windenergieanlagen;Cologne
;;LVK;Luftverkehr;Fläche für den Luftverkehr;Cologne
SHP;Shopping;GWB;Gewerbe;großfl. E.H.;Cologne
;;BHN;Bahn;KVB;Cologne
;;IND;Industrie;DFVLR;Cologne
;;MLT;Militär;Militärischer Bereich;Cologne
;;NAN;undefined;F.M.A.;Cologne
SHP;Shopping;GWB;Gewerbe;Möbelmarkt;Cologne
SPT;Sport;FRZ;Freizeit;Golf;Cologne
ODR;Outdoor;FRZ;Freizeit;Camping;Cologne
;;HFN;Hafen;Hafen;Cologne
;;IFS;Infrastruktur;GVZ;Cologne
SPT;Sport;FRZ;Freizeit;Stadion;Cologne
BLD;Bildung;SND;Sonder;UNI;Cologne
BLD;Bildung;SND;Sonder;Sporthochschule;Cologne
;;NAN;undefined;PH;Cologne
IFS;Infrastruktur;GMB;Gemeinbedarf;Vollz.anstalt;Cologne
;;GMB;Gemeinbedarf;Soz. Einricht.;Cologne
;;FRZ;Freizeit;Festplatz;Cologne
SHP;Shopping;GWB;Gewerbe;großfl. E.H.+z.S.;Cologne
;;NAN;undefined;G.M.I.;Cologne
RLG;Religion;GMB;Gemeinbedarf;Kloster;Cologne
IFS;Infrastruktur;GWB;Gewerbe;Post;Cologne
;;MLT;Militär;Miltärischer Bereich;Cologne
